Genre,Budget,Profit
Action,87746444278,156361095372
Science Fiction,42198603396,80362256252
Thriller,52289434162,75022023473
Fantasy,41478417840,84106518296
Adventure,78071963508,168178041102
Animation,23924206222,54845728579
Crime,27429182610,36729238341
Drama,68281542727,98713969319
Mystery,15239292394,22321645210
Horror,12199793904,23701236729
Music,4398075615,9472089192
History,10728350975,10171669348
Comedy,66798999735,120665055915
War,7652028933,9230355663
Romance,25578356060,47977202729
Family,38330346508,75613242803
Documentary,448213896,1543519975
Western,2861889571,2254057004
TV Movie,107063285,91725657
