id,title,genres,popularity,release_date,budget,revenue,vote_average
373449,2,Action-Science Fiction-Thriller-Fantasy,8.382,2018/11/29,77000000,114629169,6.1
12244,9,Action-Adventure-Animation-Science Fiction-Thriller,47.004,2009/8/19,30000000,48428063,6.9
20714,12,Crime-Drama-Mystery,7.104,2007/6/6,4000000,7537453,7.3
8065,21,Drama-Crime,31.37,2008/3/27,35000000,159808370,6.7
368006,24,Action-Science Fiction-Thriller,5.459,2016/5/5,10000000,15000000,7.3
284564,31,Horror-Thriller,9.969,2016/9/15,1500000,779820,5.4
109410,42,Drama,16.415,2013/4/12,40000000,95020213,7.1
3682,54,Drama-Music,10.509,1998/8/28,13000000,16757163,5.8
601337,83,Drama-History,4.871,2021/12/23,36786988,25452983,6.8
19980,99,Comedy-Crime,1.492,2009/5/15,3000000,6600000,6.5
1271,300,Action-Adventure-War,39.614,2007/3/7,65000000,422610419,7.2
3021,1408,Horror,21.881,2007/6/22,25000000,132963417,6.7
369126,1814,Adventure-History-Mystery,1.804,2007/12/27,3500000,2490500,7.3
76349,1911,Adventure-Drama-Action-History-War,8.45,2011/7/3,30000000,3807134,5.7
530915,1917,War-Drama-Action-Thriller,37.917,2019/12/25,100000000,374733942,8
14161,2012,Action-Adventure-Science Fiction,129.199,2009/10/10,200000000,791217826,5.8
844,2046,Fantasy-Drama-Science Fiction-Romance,10.815,2004/9/29,12000000,19271312,7.2
449262,?algД± ?engi Д°kimiz,Comedy,1.683,2017/1/6,3912363,9072414,6
608441,?ift'lik Bank: Tosun Firarda,Comedy-Drama,0.6,2018/11/16,3,2,0
8202,?on Flux,Science Fiction-Action-Thriller,12.201,2005/11/30,62000000,53321673,5.6
648468,?Р°?Рё?,History-Drama-Romance,0.6,2016/11/28,1,1,10
788134,?Р°Рї?Рµ?РµРЅРЅР°? ?РµР°Р»?РЅРѕ???,Science Fiction-Action,0.6,2009/10/8,7,1,0
253495,?Рµ?РЅР°? ?Р°?РµРІРЅР°,Adventure-Family-Fantasy,0.709,2005/1/1,94,370000,6
603748,?РµРЅР°???РЅ?Рµ,Action-Comedy,0.6,2006/8/31,1700000,1320000,0
220669,?Рѕ?РѕР»?РІ,Drama,1.4,2007/10/29,6000000,31000,1
586511,?РіРµРЅ? ?Р°РјР±Рѕ,Crime-Comedy,0.641,2019/3/14,26500,94935,3
576796,?РјРµРЅРёРЅ?,Comedy,0.6,2004/6/7,600000,72500,5
252178,'71,Thriller-Action-Drama-War,10.514,2014/10/10,11000000,3200000,6.8
19913,(500) Days of Summer,Comedy-Drama-Romance,59.67,2009/7/17,7500000,60781545,7.3
9805,(T)Raumschiff Surprise - Periode 1,Comedy-Science Fiction,8.542,2004/7/14,9000000,76341401,6.2
8329,[REC],Horror-Mystery,61.386,2007/11/23,1500000,32511655,7.2
185341,[REC]??Apocalypse,Thriller-Horror,40.688,2014/10/31,3000000,4915757,5.6
10664,[REC]ВІ,Thriller-Horror,42.382,2009/9/15,5600000,18469680,6.6
80280,[REC]Ві Genesis,Horror,37.85,2012/3/30,6400000,11019975,5.2
614696,#Alive,Action-Horror-Thriller,65.756,2020/6/24,6300000,13416285,7.3
804660,04:57,Fantasy-Horror,0.6,2020/8/3,10,10,10
178657,07th Changes Course,Action-Adventure,0.6,2007/4/12,1300000,95000,3.2
333371,10 Cloverfield Lane,Thriller-Science Fiction-Drama-Horror,28.713,2016/3/10,15000000,108286421,7
4951,10 Things I Hate About You,Comedy-Romance-Drama,32.76,1999/3/30,16000000,53478166,7.6
7840,"10,000 BC",Adventure-Action-Drama-Fantasy,28.436,2008/2/22,105000000,269784201,5.4
14098,100 Feet,Horror-Thriller,9.557,2008/7/22,10000000,1415804,5.5
506977,100W Bulb,Drama-Crime,0.6,2014/6/16,15000,50000,0
11674,101 Dalmatians,Family-Comedy,70.708,1996/11/27,54000000,320689294,5.9
