"date","value"
2021-01-03,26
2021-01-10,29
2021-01-17,29
2021-01-24,23
2021-01-31,10
2021-02-07,6
2021-02-14,3
2021-02-21,10
2021-02-28,19
2021-03-07,17
2021-03-14,13
2021-03-21,21
2021-03-28,28
2021-04-04,8
2021-04-11,17
2021-04-18,31
2021-04-25,59
2021-05-02,157
2021-05-09,1550
2021-05-16,3392
2021-05-23,3145
2021-05-30,2301
2021-06-06,1521
2021-06-13,941
2021-06-20,575
2021-06-27,344
2021-07-04,205
2021-07-11,160
2021-07-18,152
2021-07-25,113
2021-08-01,85
2021-08-08,74
2021-08-15,76
2021-08-22,63
2021-08-29,38
2021-09-05,59
2021-09-12,50
2021-09-19,44
2021-09-26,49
2021-10-03,44
2021-10-10,33
2021-10-17,30
2021-10-24,43
2021-10-31,31
2021-11-07,47
2021-11-14,46
2021-11-21,64
2021-11-28,64
2021-12-05,90
2021-12-12,78
2021-12-19,124
2021-12-26,176
2022-01-02,301
2022-01-02,301
2022-01-09,475
2022-01-16,477
2022-01-23,404
2022-01-30,397
2022-02-06,401
2022-02-13,443
2022-02-20,407
2022-02-27,404
2022-03-06,437
2022-03-13,110
