date,name,category,value
1990-01-01,Abdullah from Minye,Drama,960
1990-01-01,Safare Jadooei,Comedy,50000
1990-01-01,Angel Town,Action,855810
1990-01-01,Thief of Dolls,Comedy,1500000
1990-01-01,La Femme Nikita,Action,5000000
1990-01-01,Leatherface: The Texas Chainsaw Massacre III,Horror,5765562
1990-01-01,Stanley & Iris,Drama,5820015
1990-01-01,Nightbreed,Action,8862354
1990-01-01,Dark Angel,Action,9229401
1990-01-01,House Party,Comedy,26386000
1990-01-01,Internal Affairs,Crime,27734391
1990-01-01,Joe Versus the Volcano,Comedy,39404261
1990-01-01,Hard to Kill,Action,47410000
1990-01-01,Tremors,Horror,48572000
1990-01-01,The Hunt for Red October,Action,200512643
1990-02-01,Abdullah from Minye,Drama,960
1990-02-01,Safare Jadooei,Comedy,50000
1990-02-01,Angel Town,Action,855810
1990-02-01,Thief of Dolls,Comedy,1500000
1990-02-01,La Femme Nikita,Action,5000000
1990-02-01,Leatherface: The Texas Chainsaw Massacre III,Horror,5765562
1990-02-01,Stanley & Iris,Drama,5820015
1990-02-01,Nightbreed,Action,8862354
1990-02-01,Dark Angel,Action,9229401
1990-02-01,House Party,Comedy,26386000
1990-02-01,Internal Affairs,Crime,27734391
1990-02-01,Joe Versus the Volcano,Comedy,39404261
1990-02-01,Hard to Kill,Action,47410000
1990-02-01,Tremors,Horror,48572000
1990-02-01,The Hunt for Red October,Action,200512643
1990-03-01,Abdullah from Minye,Drama,960
1990-03-01,Safare Jadooei,Comedy,50000
1990-03-01,Angel Town,Action,855810
1990-03-01,Thief of Dolls,Comedy,1500000
1990-03-01,La Femme Nikita,Action,5000000
1990-03-01,Leatherface: The Texas Chainsaw Massacre III,Horror,5765562
1990-03-01,Stanley & Iris,Drama,5820015
1990-03-01,Nightbreed,Action,8862354
1990-03-01,Dark Angel,Action,9229401
1990-03-01,House Party,Comedy,26386000
1990-03-01,Internal Affairs,Crime,27734391
1990-03-01,Joe Versus the Volcano,Comedy,39404261
1990-03-01,Hard to Kill,Action,47410000
1990-03-01,Tremors,Horror,48572000
1990-03-01,The Hunt for Red October,Action,200512643
1990-04-01,Thief of Dolls,Comedy,1500000
1990-04-01,The Last of the Finest,Action,1531489
1990-04-01,La Femme Nikita,Action,5000000
1990-04-01,Leatherface: The Texas Chainsaw Massacre III,Horror,5765562
1990-04-01,Stanley & Iris,Drama,5820015
1990-04-01,Nightbreed,Action,8862354
1990-04-01,Dark Angel,Action,9229401
1990-04-01,House Party,Comedy,26386000
1990-04-01,Internal Affairs,Crime,27734391
1990-04-01,Joe Versus the Volcano,Comedy,39404261
1990-04-01,Hard to Kill,Action,47410000
1990-04-01,Tremors,Horror,48572000
1990-04-01,The Hunt for Red October,Action,200512643
1990-04-01,Dances with Wolves,Adventure,424208848
1990-04-01,Pretty Woman,Romance,463406268
1990-05-01,Stanley & Iris,Drama,5820015
1990-05-01,Cry-Baby,Comedy,8266343
1990-05-01,Nightbreed,Action,8862354
1990-05-01,Dark Angel,Action,9229401
1990-05-01,Spaced Invaders,Comedy,15369573
1990-05-01,The First Power,Crime,22424195
1990-05-01,House Party,Comedy,26386000
1990-05-01,Internal Affairs,Crime,27734391
1990-05-01,Joe Versus the Volcano,Comedy,39404261
