date,name,category,value
1990-02-01,Crime,Crime,36963792
1990-02-01,Drama,Drama,27734391
1990-02-01,Horror,Horror,63566963
1990-02-01,Comedy,Comedy,48622000
1990-02-01,Action,Action,57801401
1990-02-01,Adventure,Adventure,48572000
1990-02-01,Fantasy,Fantasy,48572000
1990-02-01,Thriller,Thriller,9229401
1990-02-01,Science Fiction,Science Fiction,9229401
1990-02-01,Family,Family,50000
1990-03-01,Crime,Crime,38463792
1990-03-01,Drama,Drama,33555366
1990-03-01,Horror,Horror,72429317
1990-03-01,Comedy,Comedy,50122000
1990-03-01,Action,Action,119929565
1990-03-01,Adventure,Adventure,48572000
1990-03-01,Fantasy,Fantasy,57434354
1990-03-01,Thriller,Thriller,14229401
1990-03-01,Science Fiction,Science Fiction,9229401
1990-03-01,Family,Family,50000
1990-03-01,Romance,Romance,5820015
1990-04-01,Crime,Crime,39995281
1990-04-01,Drama,Drama,485681703
1990-04-01,Horror,Horror,72429317
1990-04-01,Comedy,Comedy,579318529
1990-04-01,Action,Action,321973697
1990-04-01,Adventure,Adventure,673293491
1990-04-01,Fantasy,Fantasy,57434354
1990-04-01,Thriller,Thriller,214742044
1990-04-01,Science Fiction,Science Fiction,9229401
1990-04-01,Family,Family,50000
1990-04-01,Romance,Romance,508630544
1990-04-01,Western,Western,424208848
1990-05-01,Crime,Crime,168702706
1990-05-01,Drama,Drama,485681703
1990-05-01,Horror,Horror,94853512
1990-05-01,Comedy,Comedy,706693171
1990-05-01,Action,Action,428172318
1990-05-01,Adventure,Adventure,777032217
1990-05-01,Fantasy,Fantasy,57434354
1990-05-01,Thriller,Thriller,343449469
1990-05-01,Science Fiction,Science Fiction,27058869
1990-05-01,Family,Family,15419573
1990-05-01,Romance,Romance,516896887
1990-05-01,Western,Western,424208848
1990-05-01,Music,Music,8266343
1990-06-01,Crime,Crime,168702706
1990-06-01,Drama,Drama,488000827
1990-06-01,Horror,Horror,111178085
1990-06-01,Comedy,Comedy,1106245327
1990-06-01,Action,Action,566872318
1990-06-01,Adventure,Adventure,1162578924
1990-06-01,Fantasy,Fantasy,73758927
1990-06-01,Thriller,Thriller,359774042
1990-06-01,Science Fiction,Science Fiction,271586452
1990-06-01,Family,Family,15419573
1990-06-01,Romance,Romance,655596887
